day,vessel,count,batch
18,5,23558,6
18,6,21493,6
18,7,24627,6
18,8,38610,6
18,1,29919,6
18,2,11088,6
18,3,21575,6
18,4,20082,6
18,5,21946,6
18,6,21259,6
18,7,20606,6
18,8,30409,6
18,1,27968,6
18,2,22264,6
18,3,19200,6
18,4,17322,6
18,5,19386,6
18,6,22669,6
18,7,19908,6
18,8,29065,6
19,1,52435,6
19,2,30513,6
19,3,35120,6
19,4,37379,6
19,5,52029,6
19,6,37749,6
19,7,50404,6
19,8,32555,6
19,1,50413,6
19,2,27296,6
19,3,32642,6
19,4,29962,6
19,5,41690,6
19,6,38294,6
19,7,48439,6
19,8,22514,6
19,1,42988,6
19,2,25033,6
19,3,26888,6
19,4,28649,6
19,5,41571,6
19,6,25273,6
19,7,40413,6
19,8,27029,6
20,1,43527,7
20,2,31927,7
20,3,54002,7
20,4,43420,7
20,5,62184,7
20,6,48794,7
20,7,66186,7
20,8,54262,7
20,1,52548,7
20,2,29459,7
20,3,47095,7
20,4,43109,7
20,5,57146,7
20,6,51086,7
20,7,62584,7
20,8,44368,7
20,1,46283,7
20,2,28232,7
20,3,50292,7
20,4,40416,7
20,5,56341,7
20,6,48894,7
20,7,65351,7
20,8,47598,7
21,1,45366,7
21,2,21246,7
21,3,41015,7
21,4,38461,7
21,5,51426,7
21,6,45062,7
21,7,52396,7
21,8,52569,7
21,1,43312,7
21,2,23035,7
21,3,43753,7
21,4,36622,7
21,5,48292,7
21,6,40317,7
21,7,49297,7
21,8,50633,7
21,1,42864,7
21,2,19821,7
21,3,38500,7
21,4,33019,7
21,5,41980,7
21,6,38703,7
21,7,49543,7
21,8,47661,7
22,1,36968,7
22,2,23423,7
22,3,33124,7
22,4,30241,7
22,5,32204,7
22,6,37279,7
22,7,42896,7
22,8,40869,7
22,1,34767,7
22,2,21101,7
22,3,30290,7
22,4,28391,7
22,5,26817,7
22,6,32721,7
22,7,40872,7
22,8,35438,7
22,1,29883,7
22,2,21475,7
22,3,28049,7
22,4,27385,7
22,5,31992,7
22,6,33629,7
22,7,39010,7
22,8,35493,7
23,1,35023,8
23,2,33133,8
23,3,34791,8
23,4,26493,8
23,5,33570,8
23,6,37450,8
23,7,38014,8
23,8,38577,8
23,1,43760,8
23,2,36497,8
23,3,34751,8
23,4,27224,8
23,5,37487,8
23,6,42286,8
23,7,38361,8
23,8,37905,8
23,1,42315,8
23,2,35421,8
23,3,37039,8
23,4,27145,8
23,5,39067,8
23,6,42487,8
23,7,34059,8
23,8,38569,8
24,1,55176,8
24,2,50751,8
24,3,46231,8
24,4,47951,8
24,5,45956,8
24,6,46281,8
24,7,52875,8
24,8,60058,8
24,1,3095,8
24,2,38794,8
24,3,41591,8
24,4,44015,8
24,5,48738,8
24,6,45389,8
24,7,56166,8
24,8,61230,8
24,1,45335,8
24,2,39767,8
24,3,21957,8
24,4,40047,8
24,5,42080,8
24,6,41120,8
24,7,50505,8
24,8,49499,8
25,1,28639,8
25,2,28904,8
25,3,23088,8
25,4,25775,8
25,5,30906,8
25,6,28655,8
25,7,35618,8
25,8,33981,8
25,1,26157,8
25,2,26905,8
25,3,26286,8
25,4,23077,8
25,5,28300,8
25,6,27387,8
25,7,30896,8
25,8,30739,8
